"","BGN_DATE","EVTYPE","COUNTY","COUNTYNAME","STATE","FATALITIES","INJURIES","LATITUDE","LONGITUDE"
"376684","2/13/2000 0:00:00","TSTM WIND",89,"MADISON","AL",0,2,3444,8637
"376694","4/3/2000 0:00:00","TORNADO",57,"FAYETTE","AL",0,1,3346,8738
"376702","11/11/2000 0:00:00","AVALANCHE",15,"AKZ015","AK",0,1,0,0
"376704","11/12/2000 0:00:00","HIGH WIND",13,"AKZ013 - 015>017 - 019>021","AK",0,2,0,0
"379201","1/9/2000 0:00:00","TORNADO",101,"MONTGOMERY","AL",0,1,3218,8620
"379264","2/13/2000 0:00:00","TSTM WIND",73,"JEFFERSON","AL",0,1,3324,8656
"379366","3/10/2000 0:00:00","TSTM WIND",125,"TUSCALOOSA","AL",1,0,3308,8738
"379441","4/2/2000 0:00:00","LIGHTNING",1,"AUTAUGA","AL",0,1,0,0
"379455","4/2/2000 0:00:00","TORNADO",15,"CALHOUN","AL",1,6,3354,8533
"379502","4/8/2000 0:00:00","HIGH WIND",2,"ALZ002","AL",1,0,0,0
"379570","5/25/2000 0:00:00","LIGHTNING",73,"JEFFERSON","AL",0,1,0,0
"379582","6/16/2000 0:00:00","LIGHTNING",73,"JEFFERSON","AL",0,1,0,0
"379591","6/22/2000 0:00:00","TSTM WIND",31,"COFFEE","AL",1,0,3134,8604
"379596","6/24/2000 0:00:00","EXCESSIVE HEAT",8,"ALZ008","AL",1,0,0,0
"379599","6/25/2000 0:00:00","EXCESSIVE HEAT",62,"ALZ062 - 064","AL",1,0,0,0
"379609","6/25/2000 0:00:00","LIGHTNING",97,"MOBILE","AL",0,1,0,0
"379612","6/25/2000 0:00:00","LIGHTNING",97,"MOBILE","AL",0,1,0,0
"379636","7/14/2000 0:00:00","EXCESSIVE HEAT",61,"ALZ061 - 063","AL",2,0,0,0
"379661","7/20/2000 0:00:00","TSTM WIND",77,"LAUDERDALE","AL",0,1,3454,8741
"379663","7/20/2000 0:00:00","TSTM WIND",91,"MARENGO","AL",0,2,3231,8750
"379672","7/20/2000 0:00:00","TSTM WIND",79,"LAWRENCE","AL",0,1,3433,8719
"379680","7/20/2000 0:00:00","TSTM WIND",89,"MADISON","AL",0,2,3443,8632
"379687","7/20/2000 0:00:00","TSTM WIND",71,"JACKSON","AL",0,1,3443,8558
"379695","7/20/2000 0:00:00","TSTM WIND",9,"BLOUNT","AL",0,1,3400,8634
"379825","8/10/2000 0:00:00","TSTM WIND",49,"DEKALB","AL",0,1,3428,8547
"379915","9/1/2000 0:00:00","LIGHTNING",1,"AUTAUGA","AL",0,1,0,0
"379934","9/23/2000 0:00:00","LIGHTNING",73,"JEFFERSON","AL",0,5,0,0
"379959","11/3/2000 0:00:00","FOG",64,"ALZ064","AL",0,8,0,0
"379961","11/6/2000 0:00:00","TORNADO",97,"MOBILE","AL",0,2,3030,8814
"379999","11/28/2000 0:00:00","FOG",63,"ALZ063","AL",0,12,0,0
"380013","12/16/2000 0:00:00","TORNADO",61,"GENEVA","AL",1,9,3101,8554
"380024","12/16/2000 0:00:00","TORNADO",125,"TUSCALOOSA","AL",11,144,3303,8742
"380033","12/16/2000 0:00:00","TORNADO",115,"ST. CLAIR","AL",0,2,3347,8619
"380039","12/16/2000 0:00:00","TORNADO",55,"ETOWAH","AL",0,14,3403,8556
"380069","12/31/2000 0:00:00","EXTREME COLD",24,"ALZ024","AL",1,0,0,0
"380114","1/26/2000 0:00:00","WINTER STORM",14,"AKZ014>015 - 017","AK",2,0,0,0
"380115","1/26/2000 0:00:00","AVALANCHE",17,"AKZ017","AK",1,1,0,0
"380122","1/27/2000 0:00:00","HEAVY SNOW",13,"AKZ013","AK",1,0,0,0
"380128","1/29/2000 0:00:00","EXTREME COLD",11,"AKZ011","AK",1,0,0,0
"380138","2/1/2000 0:00:00","AVALANCHE",15,"AKZ015","AK",1,2,0,0
"380202","3/23/2000 0:00:00","EXTREME WINDCHILL",11,"AKZ011","AK",1,0,0,0
"380213","4/8/2000 0:00:00","AVALANCHE",14,"AKZ014","AK",1,0,0,0
"380214","4/8/2000 0:00:00","AVALANCHE",13,"AKZ013","AK",1,1,0,0
"380230","5/18/2000 0:00:00","WILD/FOREST FIRE",5,"UPPER YUKON VALLEY","AK",0,9,0,0
"380237","6/24/2000 0:00:00","EXCESSIVE HEAT",11,"AKZ011","AK",1,0,0,0
"380305","11/2/2000 0:00:00","HIGH WIND",11,"AKZ011 - 013 - 016 - 019>021","AK",0,2,0,0
"380336","12/9/2000 0:00:00","AVALANCHE",145,"AKZ145","AK",1,0,0,0
"380348","12/17/2000 0:00:00","HEAVY SNOW",101,"AKZ101","AK",2,0,0,0
"380372","3/5/2000 0:00:00","WINTER STORM",24,"AZZ024","AZ",1,0,0,0
"380373","3/5/2000 0:00:00","WINTER STORM",33,"AZZ033","AZ",2,10,0,0
"380375","3/7/2000 0:00:00","DUST STORM",35,"AZZ035","AZ",0,3,0,0
"380377","3/20/2000 0:00:00","WINTER STORM",10,"AZZ010 - 012>016","AZ",5,0,0,0
"380419","6/29/2000 0:00:00","LIGHTNING",13,"MARICOPA","AZ",0,2,0,0
"380440","7/28/2000 0:00:00","LIGHTNING",3,"COCHISE","AZ",0,2,0,0
"380460","8/6/2000 0:00:00","DRY MICROBURST",7,"GILA","AZ",0,1,0,0
"380544","8/12/2000 0:00:00","LIGHTNING",7,"GILA","AZ",1,2,0,0
"380564","8/16/2000 0:00:00","TSTM WIND",15,"MOHAVE","AZ",0,1,3427,11422
"380567","8/17/2000 0:00:00","TSTM WIND",25,"YAVAPAI","AZ",0,1,3345,11217
"380573","8/17/2000 0:00:00","TSTM WIND",13,"MARICOPA","AZ",0,4,3325,11149
"380578","8/22/2000 0:00:00","LIGHTNING",5,"COCONINO","AZ",0,7,0,0
"380606","9/14/2000 0:00:00","DUST STORM",15,"AZZ015","AZ",0,3,0,0
"380611","10/7/2000 0:00:00","TSTM WIND/HAIL",1,"APACHE","AZ",0,1,0,0
"380621","10/19/2000 0:00:00","LIGHTNING",13,"MARICOPA","AZ",0,1,0,0
